frame_number static_density dynamic_density
1 0.241463 0.11402
6 0.263489 0.135814
11 0.284851 0.079343
16 0.287846 0.0996101
21 0.292675 0.0759831
26 0.299303 0.0892401
31 0.305002 0.0911896
36 0.298125 0.0919778
41 0.289107 0.0980338
46 0.28408 0.117936
51 0.280538 0.105127
56 0.282114 0.0998175
61 0.288419 0.0948897
66 0.288493 0.0380869
71 0.277982 0.0159449
76 0.278497 0.023768
81 0.282404 0.0370665
86 0.307533 0.0712129
91 0.334843 0.0824954
96 0.349486 0.101062
101 0.348532 0.121072
106 0.344384 0.111507
111 0.345587 0.105459
116 0.350987 0.116816
121 0.350722 0.155923
126 0.348407 0.154795
131 0.347503 0.145703
136 0.348946 0.135233
141 0.353526 0.177767
146 0.35258 0.199942
151 0.347835 0.164394
156 0.343181 0.162568
161 0.340609 0.166766
166 0.337349 0.159092
171 0.334553 0.156156
176 0.33106 0.152041
181 0.329584 0.120616
186 0.330571 0.11558
191 0.331259 0.10896
196 0.329252 0.070964
201 0.329741 0.0339306
206 0.331044 0.0285548
211 0.332172 0.0415381
216 0.332023 0.0395304
221 0.33257 0.0779326
226 0.33301 0.0310602
231 0.332686 0.027634
236 0.333068 0.0366766
241 0.331964 0.0364609
246 0.328878 0.0306537
251 0.33004 0.0257923
256 0.33077 0.0155633
261 0.330786 0.0188402
266 0.330314 0.032819
271 0.329451 0.06519
276 0.328605 0.0270118
281 0.336577 0.0269288
286 0.348822 0.0369172
291 0.357748 0.0508877
296 0.347578 0.0249793
301 0.336801 0.0552348
306 0.333839 0.0423262
311 0.338352 0.0661606
316 0.34065 0.0472623
321 0.337705 0.122333
326 0.333624 0.0821304
331 0.333408 0.0875228
336 0.333101 0.0370665
341 0.334254 0.0270864
346 0.338933 0.0324125
351 0.341588 0.0267961
356 0.339431 0.0267878
361 0.338767 0.023262
366 0.337539 0.0200929
371 0.336278 0.0315414
376 0.336552 0.0181765
381 0.336096 0.0162187
386 0.340493 0.0302638
391 0.353468 0.0551767
396 0.360503 0.0672806
401 0.357997 0.0634561
406 0.356089 0.0771611
411 0.372839 0.0730795
416 0.398714 0.108188
421 0.413423 0.134138
426 0.433192 0.147395
431 0.45526 0.169869
436 0.475825 0.182487
441 0.486254 0.21193
446 0.49591 0.237838
451 0.499021 0.280861
456 0.50735 0.299486
461 0.509101 0.306794
466 0.510154 0.310619
471 0.511341 0.324714
476 0.511332 0.317662
481 0.512444 0.320358
486 0.513431 0.296466
491 0.512892 0.288925
496 0.510511 0.305981
501 0.514244 0.0156794
506 0.526132 0.0478679
511 0.537498 0.079343
516 0.548407 0.0948316
521 0.568384 0.111274
526 0.581973 0.0758503
531 0.590426 0.0719761
536 0.590443 0.0770118
541 0.584304 0.0863116
546 0.582338 0.11047
551 0.576232 0.108371
556 0.57405 0.112469
561 0.569827 0.120574
566 0.566094 0.292741
571 0.564676 0.293247
576 0.572648 0.031193
581 0.583682 0.0504065
586 0.594998 0.0644433
591 0.606056 0.0756761
596 0.630405 0.0912062
601 0.643927 0.102381
606 0.653526 0.10628
611 0.670126 0.123751
616 0.676423 0.106081
621 0.684296 0.150755
626 0.686046 0.137
631 0.691662 0.145537
636 0.696034 0.148333
641 0.697146 0.14138
646 0.694881 0.127468
651 0.694284 0.0804546
656 0.696482 0.0872739
661 0.695802 0.0929816
666 0.696964 0.0972955
671 0.697893 0.133084
676 0.699983 0.110138
681 0.700523 0.124548
686 0.700672 0.122034
691 0.700738 0.122507
696 0.701883 0.228629
701 0.703094 0.148913
706 0.703824 0.115339
711 0.704538 0.166617
716 0.703675 0.0934545
721 0.701128 0.205757
726 0.701974 0.125112
731 0.702298 0.11587
736 0.702165 0.150581
741 0.702472 0.013398
746 0.703866 0.182454
751 0.703899 0.0111083
756 0.704803 0.148216
761 0.704778 0.126921
766 0.706852 0.0467646
771 0.707707 0.049552
776 0.708586 0.172333
781 0.709466 0.0256512
786 0.708561 0.019844
791 0.707466 0.0159532
796 0.703103 0.0306869
801 0.701974 0.0289199
806 0.699079 0.0389497
811 0.69922 0.060287
816 0.704107 0.0731044
821 0.709872 0.155998
826 0.711067 0.0705492
831 0.711689 0.0394641
836 0.712295 0.0459433
841 0.713639 0.0356645
846 0.713929 0.152862
851 0.714319 0.0280654
856 0.714642 0.0439605
861 0.71436 0.0276091
866 0.714037 0.0559151
871 0.713 0.0816078
876 0.713207 0.0425585
881 0.713365 0.0639456
886 0.713506 0.0453376
891 0.713489 0.0356479
896 0.714369 0.021188
901 0.714559 0.0279409
906 0.713572 0.138576
911 0.713987 0.021047
916 0.713755 0.0136801
921 0.713149 0.0186992
926 0.712884 0.00931641
931 0.711366 0.15068
936 0.711913 0.0215364
941 0.712038 0.0248465
946 0.711631 0.0341463
951 0.711731 0.0371827
956 0.711233 0.0756346
961 0.71144 0.107367
966 0.711258 0.0977767
971 0.711092 0.0251369
976 0.711249 0.0145429
981 0.710345 0.0648084
986 0.710984 0.0304463
991 0.711083 0.0278746
996 0.71115 0.0243322
1001 0.712942 0.0185996
1006 0.712494 0.0484155
1011 0.709872 0.0463249
1016 0.710329 0.0362784
1021 0.709665 0.0396051
1026 0.709466 0.0391405
1031 0.709922 0.0418616
1036 0.708304 0.0771362
1041 0.708644 0.0484735
1046 0.709798 0.0416542
1051 0.709814 0.0409905
1056 0.710395 0.045993
1061 0.710046 0.0653891
1066 0.709333 0.0327526
1071 0.709175 0.0305625
1076 0.7093 0.0256844
1081 0.709507 0.0358221
1086 0.708321 0.123013
1091 0.708454 0.0369421
1096 0.70823 0.0396881
1101 0.708404 0.0392235
1106 0.70779 0.0344118
1111 0.706861 0.100946
1116 0.706711 0.0505807
1121 0.707765 0.0381367
1126 0.708279 0.0385017
1131 0.709117 0.03593
1136 0.713025 0.0527294
1141 0.712734 0.0509706
1146 0.713423 0.0345943
1151 0.712593 0.0302887
1156 0.710793 0.0438941
1161 0.712378 0.085482
1166 0.711482 0.0608346
1171 0.711092 0.0504314
1176 0.71047 0.0576738
1181 0.709582 0.0444998
1186 0.708495 0.0603534
1191 0.709134 0.0242492
