frame_number static_density dynamic_density
1 0.0698364 0.120557
6 0.073353 0.136476
11 0.0866624 0.147213
16 0.093538 0.133146
21 0.0979461 0.163236
26 0.104157 0.0977351
31 0.110177 0.0982052
36 0.112649 0.113289
41 0.115124 0.115752
46 0.117474 0.114197
51 0.1189 0.0762214
56 0.129268 0.0858238
61 0.135013 0.0927276
66 0.128215 0.0886517
71 0.121485 0.103253
76 0.12614 0.0410623
81 0.135038 0.0435175
86 0.153889 0.0754516
91 0.174054 0.12042
96 0.182846 0.165311
101 0.185617 0.144879
106 0.178616 0.145649
111 0.183255 0.133279
116 0.193453 0.128316
121 0.195466 0.145243
126 0.198371 0.140981
131 0.202751 0.141763
136 0.209772 0.146499
141 0.216174 0.155891
146 0.217041 0.171854
151 0.215201 0.128097
156 0.210287 0.164513
161 0.205036 0.143518
166 0.201689 0.141305
171 0.198955 0.161964
176 0.197739 0.157094
181 0.197598 0.138858
186 0.196325 0.102929
191 0.195345 0.130873
196 0.196434 0.142294
201 0.196228 0.103294
206 0.196552 0.0829106
211 0.196706 0.109157
216 0.19573 0.0978082
221 0.197942 0.202722
226 0.197205 0.097869
231 0.19701 0.0715095
236 0.198079 0.0676039
241 0.195572 0.0811968
246 0.194713 0.109132
251 0.19451 0.0791427
256 0.194121 0.0942184
261 0.194405 0.0993032
266 0.194101 0.11183
271 0.19308 0.115165
276 0.194903 0.0638481
281 0.203205 0.0615388
286 0.213281 0.0902925
291 0.211352 0.0957256
296 0.205312 0.126299
301 0.199303 0.0674215
306 0.197156 0.0641845
311 0.198339 0.0771696
316 0.19684 0.0661331
321 0.19558 0.144356
326 0.196159 0.14152
331 0.196054 0.139543
336 0.196078 0.0797585
341 0.197642 0.0425249
346 0.200275 0.0966008
351 0.200405 0.0712584
356 0.200385 0.068641
361 0.200413 0.0597682
366 0.199761 0.0339194
371 0.197796 0.0719796
376 0.196872 0.0956162
381 0.196678 0.100235
386 0.202054 0.058176
391 0.207475 0.0825622
396 0.211324 0.137303
401 0.213374 0.107617
406 0.22249 0.0901549
411 0.239203 0.0918483
416 0.260879 0.123167
421 0.275257 0.178632
426 0.295928 0.154011
431 0.313881 0.191873
436 0.330006 0.189981
441 0.335775 0.188315
446 0.342278 0.241018
451 0.350879 0.231249
456 0.357674 0.250498
461 0.363881 0.269747
466 0.366202 0.276631
471 0.369994 0.290346
476 0.369476 0.271335
481 0.369002 0.286245
486 0.369816 0.261725
491 0.37042 0.269119
496 0.369869 0.298319
501 0.375958 0.287201
506 0.396001 0.234791
511 0.41354 0.14455
516 0.421858 0.233843
521 0.443064 0.19686
526 0.454197 0.157021
531 0.460044 0.106389
536 0.464087 0.152609
541 0.468301 0.0851794
546 0.466449 0.150004
551 0.462244 0.165777
556 0.460404 0.136375
561 0.45897 0.141078
566 0.454821 0.216109
571 0.458557 0.268937
576 0.464399 0.324601
581 0.473795 0.227489
586 0.481724 0.146167
591 0.490665 0.155717
596 0.514002 0.176468
601 0.532449 0.164087
606 0.544056 0.146289
611 0.568406 0.0823352
616 0.577858 0.0861924
621 0.588599 0.130383
626 0.59197 0.134916
631 0.595369 0.150219
636 0.59778 0.164399
641 0.598035 0.109181
646 0.597614 0.188879
651 0.600636 0.1544
656 0.602034 0.167312
661 0.602962 0.108512
666 0.604647 0.103039
671 0.605231 0.144348
676 0.60709 0.116927
681 0.610015 0.139831
686 0.611531 0.1126
691 0.610696 0.130241
696 0.614063 0.188595
701 0.61333 0.181865
706 0.613864 0.119208
711 0.615858 0.122519
716 0.618167 0.143246
721 0.62386 0.181529
726 0.624439 0.161365
731 0.624228 0.128839
736 0.625598 0.13321
741 0.627652 0.0875092
746 0.634292 0.227311
751 0.636395 0.182388
756 0.637461 0.218516
761 0.638976 0.170424
766 0.638773 0.100579
771 0.6478 0.195296
776 0.647443 0.186188
781 0.647172 0.120237
786 0.646491 0.0683412
791 0.647816 0.1
796 0.642027 0.200106
801 0.639511 0.135443
806 0.636678 0.13494
811 0.637882 0.102743
816 0.652759 0.0955595
821 0.67452 0.197614
826 0.706641 0.14062
831 0.729025 0.115663
836 0.736326 0.141269
841 0.740466 0.103266
846 0.754639 0.205656
851 0.756892 0.135508
856 0.757597 0.105445
861 0.758771 0.12202
866 0.758379 0.130674
871 0.758674 0.202022
876 0.761932 0.155599
881 0.758792 0.134017
886 0.757292 0.109262
891 0.759051 0.07956
896 0.757896 0.0901263
901 0.75741 0.0453326
906 0.751041 0.223884
911 0.750648 0.11243
916 0.753772 0.0962078
921 0.755328 0.0716109
926 0.755838 0.0738473
931 0.75707 0.200826
936 0.758131 0.0991695
941 0.757102 0.0905234
946 0.753399 0.111575
951 0.752755 0.104809
956 0.758869 0.148225
961 0.758285 0.164987
966 0.757418 0.136428
971 0.756961 0.0699823
976 0.75568 0.0984929
981 0.741164 0.234252
986 0.738486 0.117592
991 0.744843 0.0919374
996 0.745859 0.0513897
1001 0.747468 0.0617858
1006 0.740455 0.130828
1011 0.743145 0.102516
1016 0.742598 0.101661
1021 0.744223 0.0840613
1026 0.743643 0.0851471
1031 0.742942 0.108913
1036 0.742108 0.210076
1041 0.73977 0.0914552
1046 0.740645 0.0788753
1051 0.742339 0.123637
1056 0.742185 0.0821329
1061 0.733765 0.154833
1066 0.732456 0.093781
1071 0.730731 0.0590187
1076 0.735771 0.0750993
1081 0.736626 0.0626936
1086 0.744563 0.146885
1091 0.744915 0.0511223
1096 0.745369 0.0605137
1101 0.744579 0.061393
1106 0.743202 0.0635118
1111 0.745409 0.100559
1116 0.743469 0.0589539
1121 0.741731 0.0647151
1126 0.742488 0.036954
1131 0.745256 0.0381736
1136 0.738801 0.0786929
1141 0.740746 0.0606394
1146 0.737351 0.0710315
1151 0.732056 0.0542825
1156 0.728385 0.0411231
1161 0.739765 0.0906165
1166 0.737055 0.0625841
1171 0.737173 0.0511952
1176 0.736699 0.0706385
1181 0.738664 0.0610809
1186 0.758986 0.14641
1191 0.758427 0.108046
1196 0.759898 0.133745
1201 0.761863 0.111875
1206 0.759084 0.0981687
1211 0.758905 0.26085
1216 0.756559 0.105705
1221 0.753221 0.157714
1226 0.753273 0.125626
1231 0.753626 0.0433028
1236 0.747464 0.114517
1241 0.74522 0.0571955
1246 0.751916 0.0559071
1251 0.749238 0.0364841
1256 0.744194 0.0489101
1261 0.727903 0.0906855
1266 0.732745 0.0876792
1271 0.73524 0.102066
1276 0.742359 0.0916417
1281 0.741727 0.0374645
1286 0.741796 0.0706911
1291 0.740973 0.0332429
1296 0.742314 0.0388988
1301 0.744393 0.0387408
1306 0.743753 0.0393526
1311 0.733186 0.0930315
1316 0.726104 0.10799
1321 0.719788 0.0894295
1326 0.715068 0.136395
1331 0.71555 0.0877359
1336 0.715923 0.124249
1341 0.712454 0.103132
1346 0.713184 0.108618
1351 0.713978 0.124779
1356 0.717527 0.116332
1361 0.714739 0.202127
1366 0.716275 0.0960578
1371 0.720411 0.0744509
1376 0.720444 0.0710597
1381 0.720638 0.0809132
1386 0.712066 0.111393
1391 0.713828 0.0584149
1396 0.716879 0.124236
1401 0.723612 0.15177
1406 0.727777 0.142472
1411 0.742128 0.129142
1416 0.742132 0.148015
1421 0.7431 0.114731
