method argument1 argument2 static_error dynamic_error runtime
0 0 0 0 0 237
1 2 0 0.141029 0.0582905 157
1 3 0 0.181523 0.0681797 151
1 4 0 0.183756 0.0786076 114
2 1000 500 0.100975 0.09254 168
2 500 250 0.120057 0.171848 100
3 2 0 0.176407 0.0394183 265
3 4 0 0.177543 0.0730667 397
4 2 0 0.180058 0.0188122 161
4 4 0 0.181252 0.0313815 157
4 6 0 0.182088 0.0320822 165
