frame_number static_density dynamic_density
1 0.515057 0.248209
6 0.532517 0.20127
11 0.55805 0.0903855
16 0.55805 0.169025
21 0.560091 0.137234
26 0.546757 0.157823
31 0.551973 0.148299
36 0.536281 0.139864
41 0.528526 0.156463
46 0.514603 0.176871
51 0.511474 0.163946
56 0.516689 0.16381
61 0.516281 0.097415
66 0.509342 0.0565986
71 0.505125 0.0461225
76 0.503492 0.0314286
81 0.507619 0.0645805
86 0.519955 0.0985034
91 0.525986 0.12449
96 0.533878 0.17034
101 0.514966 0.199683
106 0.505397 0.178957
111 0.5078 0.195556
116 0.516463 0.190113
121 0.534739 0.242041
126 0.538095 0.269751
131 0.535283 0.272698
136 0.53102 0.215964
141 0.533424 0.251882
146 0.520952 0.27229
151 0.523537 0.275193
156 0.521542 0.250975
161 0.519637 0.250703
166 0.520091 0.232154
171 0.52059 0.274104
176 0.521451 0.218458
181 0.520272 0.246893
186 0.521315 0.199048
191 0.522222 0.173107
196 0.519365 0.23737
201 0.518458 0.076644
206 0.517007 0.0744671
211 0.516145 0.069161
216 0.515692 0.14068
221 0.513696 0.336871
226 0.514059 0.0885261
231 0.515283 0.0843991
236 0.514785 0.0621769
241 0.517279 0.0863039
246 0.518005 0.215556
251 0.516644 0.037415
256 0.517188 0.0245805
261 0.518141 0.0520181
266 0.519274 0.0696145
271 0.522086 0.172336
276 0.521361 0.0559637
281 0.529841 0.0370068
286 0.53619 0.0401361
291 0.529342 0.0734694
296 0.524444 0.0679819
301 0.515283 0.0874376
306 0.519864 0.0875283
311 0.518776 0.12059
316 0.514512 0.117007
321 0.514422 0.278685
326 0.514603 0.112517
331 0.515964 0.140045
336 0.517596 0.14771
341 0.517052 0.108526
346 0.527256 0.0472109
351 0.534649 0.0348753
356 0.529433 0.0314286
361 0.528345 0.0364626
366 0.527574 0.0331973
371 0.525578 0.0353288
376 0.524399 0.0345125
381 0.5239 0.0288435
386 0.526757 0.0397279
391 0.527664 0.080907
396 0.52322 0.127574
401 0.516871 0.12576
406 0.514648 0.160862
411 0.516009 0.120317
416 0.512698 0.165397
421 0.511202 0.214603
426 0.502766 0.194014
431 0.486757 0.245079
436 0.486893 0.250612
441 0.479637 0.308299
446 0.475692 0.284218
451 0.478503 0.33932
456 0.479184 0.359546
461 0.48195 0.379138
466 0.478685 0.369252
471 0.47483 0.383039
476 0.473651 0.383356
481 0.472154 0.344943
486 0.471791 0.314603
491 0.472018 0.317324
496 0.467166 0.256689
501 0.472381 0.0711111
506 0.488798 0.0799093
511 0.503719 0.122948
516 0.512381 0.123356
521 0.507982 0.161088
526 0.504036 0.107029
531 0.505578 0.128345
536 0.501406 0.14195
541 0.500726 0.124853
546 0.492063 0.160408
551 0.491338 0.158005
556 0.492381 0.157098
561 0.488435 0.176054
566 0.483492 0.312517
571 0.479048 0.350612
576 0.484717 0.0690703
581 0.494286 0.0708844
586 0.500726 0.12263
591 0.508707 0.110884
596 0.520635 0.129297
601 0.528027 0.160363
606 0.535601 0.181769
611 0.546259 0.182766
616 0.554331 0.179501
621 0.557506 0.231429
626 0.564444 0.192653
631 0.570249 0.194875
636 0.575147 0.222086
641 0.57619 0.170839
646 0.573651 0.156145
651 0.575419 0.12449
656 0.575918 0.144898
661 0.575556 0.157823
666 0.579048 0.140726
671 0.577007 0.213968
676 0.580317 0.160816
681 0.57932 0.198322
686 0.577687 0.200907
691 0.577732 0.16712
696 0.576689 0.329252
701 0.575964 0.201859
706 0.573832 0.229478
711 0.572744 0.268617
716 0.572154 0.247528
721 0.56712 0.462358
726 0.569841 0.291429
731 0.570612 0.242993
736 0.569569 0.247392
741 0.568753 0.17873
746 0.568526 0.231474
751 0.566712 0.189161
756 0.565941 0.215147
761 0.566349 0.163492
766 0.56381 0.147619
771 0.560272 0.268571
776 0.561088 0.252472
781 0.560317 0.206531
786 0.561315 0.0693424
791 0.563673 0.0336508
796 0.571111 0.0464853
801 0.576145 0.0479365
806 0.577959 0.0484807
811 0.58195 0.0903855
816 0.584943 0.112154
821 0.590068 0.335465
826 0.596372 0.065941
831 0.59737 0.093424
836 0.599592 0.107029
841 0.599002 0.0552834
846 0.599093 0.288753
851 0.599229 0.0623583
856 0.598095 0.197732
861 0.599955 0.0256236
866 0.599229 0.121406
871 0.600952 0.122313
876 0.60059 0.0793197
881 0.602449 0.0873469
886 0.601814 0.222585
891 0.602404 0.0553741
896 0.601587 0.0662132
901 0.602177 0.113968
906 0.600816 0.319592
911 0.601179 0.0634014
916 0.601134 0.111293
921 0.600952 0.15619
926 0.599955 0.119093
931 0.599184 0.236281
936 0.599274 0.156735
941 0.599456 0.04322
946 0.599637 0.047619
951 0.599773 0.0739683
956 0.5961 0.173741
961 0.596689 0.0718821
966 0.59737 0.11746
971 0.595737 0.120181
976 0.594875 0.116871
981 0.594331 0.162676
986 0.594875 0.064263
991 0.596145 0.0525624
996 0.5961 0.094195
1001 0.596009 0.114467
1006 0.594921 0.202222
1011 0.594875 0.0712925
1016 0.596327 0.0555556
1021 0.596961 0.0517914
1026 0.597642 0.0492063
1031 0.597279 0.0885714
1036 0.595057 0.127755
1041 0.595646 0.0984581
1046 0.596689 0.0781406
1051 0.595737 0.0780045
1056 0.595918 0.0687075
1061 0.595556 0.106712
1066 0.597279 0.0741043
1071 0.595828 0.0604082
1076 0.595102 0.106939
1081 0.595828 0.0655329
1086 0.59678 0.22966
1091 0.600181 0.169297
1096 0.602313 0.101995
1101 0.602676 0.0662132
1106 0.60263 0.0739229
1111 0.597959 0.290975
1116 0.597778 0.0764626
1121 0.595918 0.0950113
1126 0.596463 0.08322
1131 0.597687 0.0608617
1136 0.594512 0.0519728
1141 0.600045 0.074059
1146 0.598594 0.0620862
1151 0.599456 0.0572789
1156 0.597642 0.0491156
1161 0.601134 0.119138
1166 0.600499 0.120544
1171 0.597687 0.0909297
1176 0.59805 0.0782313
1181 0.598413 0.0845805
1186 0.597007 0.13102
1191 0.599728 0.0287528
1196 0.600907 0.0457596
1201 0.601587 0.0326531
1206 0.600998 0.238866
1211 0.598866 0.321179
1216 0.599456 0.143492
1221 0.599184 0.241995
1226 0.599093 0.159955
1231 0.60127 0.0431746
1236 0.601179 0.0880272
1241 0.602404 0.0628118
1246 0.604172 0.062585
1251 0.603356 0.0748299
1256 0.602721 0.0497959
1261 0.598912 0.097551
1266 0.600726 0.0242177
1271 0.599955 0.0561451
1276 0.599002 0.0443537
1281 0.59746 0.0443991
1286 0.597869 0.089297
1291 0.598413 0.0398639
1296 0.600544 0.0535147
1301 0.600816 0.0542404
1306 0.601905 0.0381859
1311 0.597914 0.129433
1316 0.596281 0.0515646
1321 0.595556 0.0773696
1326 0.595102 0.0603628
1331 0.596327 0.100408
1336 0.593605 0.316961
1341 0.594059 0.0909297
1346 0.595828 0.0811791
1351 0.596961 0.0839002
1356 0.598413 0.080907
1361 0.597959 0.102449
1366 0.59941 0.0836735
1371 0.597914 0.0712472
1376 0.597732 0.0672109
1381 0.596236 0.0546939
1386 0.591066 0.0692063
1391 0.593243 0.0417687
1396 0.594422 0.03678
1401 0.598186 0.0470295
1406 0.598413 0.0638095
1411 0.600227 0.0693878
1416 0.601995 0.129297
1421 0.601769 0.129524
1426 0.603855 0.180454
1431 0.6078 0.25288
1436 0.608707 0.367574
1441 0.615329 0.421179
1446 0.624898 0.455147
1451 0.62839 0.480998
1456 0.619683 0.493696
1461 0.619093 0.503855
1466 0.610612 0.51034
1471 0.596871 0.507528
1476 0.582268 0.396236
1481 0.578549 0.589161
1486 0.59483 0.684263
1491 0.617959 0.617143
1496 0.630476 0.754785
1501 0.62907 0.606485
1506 0.635193 0.891837
1511 0.626213 0.913379
1516 0.596599 0.908163
1521 0.582948 0.865624
1526 0.565351 0.917506
1531 0.559365 0.906304
1536 0.566712 0.902585
1541 0.568707 0.889433
1546 0.572608 0.899728
1551 0.55542 0.904444
1556 0.56839 0.90458
1561 0.58 0.912018
1566 0.579637 0.924036
1571 0.578005 0.919728
1576 0.57737 0.904444
1581 0.564036 0.923673
1586 0.572834 0.899955
1591 0.577143 0.838141
1596 0.58517 0.916735
1601 0.589388 0.919864
1606 0.606621 0.882268
1611 0.641134 0.910204
1616 0.640635 0.903946
1621 0.612834 0.855964
1626 0.588526 0.884172
1631 0.562585 0.835238
1636 0.557959 0.810748
1641 0.56254 0.806032
1646 0.577324 0.847438
1651 0.590612 0.850295
1656 0.574467 0.829252
1661 0.582268 0.826712
1666 0.595964 0.83229
1671 0.593651 0.880726
1676 0.584399 0.876417
1681 0.580998 0.806667
1686 0.588481 0.834875
1691 0.605533 0.785079
1696 0.633923 0.718322
1701 0.635692 0.705488
1706 0.624581 0.716916
1711 0.611111 0.743764
1716 0.629615 0.68771
1721 0.635828 0.723084
1726 0.609252 0.759683
1731 0.575873 0.71678
1736 0.537506 0.737642
1741 0.517778 0.762177
1746 0.534694 0.784218
1751 0.533016 0.75034
1756 0.556599 0.664762
1761 0.533288 0.715556
1766 0.563447 0.744853
1771 0.561224 0.733016
1776 0.55161 0.724853
1781 0.54449 0.714512
1786 0.546213 0.695419
1791 0.551111 0.654059
1796 0.560544 0.644626
1801 0.562812 0.636735
1806 0.546213 0.720363
1811 0.521406 0.667755
1816 0.503855 0.667846
1821 0.517823 0.646395
1826 0.538005 0.64322
1831 0.573061 0.626667
1836 0.584671 0.612018
1841 0.581406 0.568118
1846 0.561361 0.504263
1851 0.554694 0.411156
1856 0.529977 0.407302
1861 0.533878 0.421769
1866 0.522676 0.394649
1871 0.523537 0.381361
1876 0.506803 0.475646
1881 0.50381 0.550113
1886 0.525261 0.583946
1891 0.55483 0.570658
1896 0.518413 0.620862
1901 0.546939 0.662676
1906 0.57102 0.69873
1911 0.534603 0.649388
1916 0.516145 0.575873
1921 0.509025 0.548571
1926 0.496463 0.561224
1931 0.460771 0.513878
1936 0.474739 0.41034
1941 0.514694 0.397007
1946 0.530431 0.358957
1951 0.528118 0.278277
1956 0.535374 0.244626
1961 0.545896 0.197868
1966 0.526213 0.13161
1971 0.499864 0.118231
1976 0.502857 0.0262132
1981 0.507664 0.0526531
1986 0.527302 0.0314286
1991 0.527528 0.0436281
1996 0.529887 0.0475737
2001 0.543537 0.0551927
2006 0.582993 0.0925624
2011 0.589297 0.215147
2016 0.579592 0.265941
2021 0.531519 0.363265
2026 0.555601 0.504399
2031 0.504172 0.484853
2036 0.456281 0.470884
2041 0.485941 0.40839
2046 0.476961 0.402721
2051 0.487664 0.379184
2056 0.518095 0.334331
2061 0.521179 0.241905
2066 0.528889 0.185578
2071 0.536508 0.150884
2076 0.528209 0.106939
2081 0.52449 0.0545578
2086 0.530839 0.0627211
2091 0.533333 0.0458957
2096 0.534331 0.0373243
2101 0.540998 0.0637642
2106 0.549751 0.0705215
2111 0.546349 0.119728
2116 0.521497 0.200816
2121 0.510159 0.200635
2126 0.515374 0.298776
2131 0.527982 0.300136
2136 0.508254 0.382993
2141 0.491338 0.327029
2146 0.460499 0.348617
2151 0.443719 0.36381
2156 0.462721 0.325986
2161 0.484354 0.369252
2166 0.524172 0.402948
2171 0.508073 0.33415
2176 0.505896 0.343537
2181 0.500454 0.379683
2186 0.548209 0.280952
2191 0.554059 0.222585
2196 0.538685 0.147392
2201 0.539592 0.104308
2206 0.54322 0.0706576
2211 0.540272 0.0470295
2216 0.538957 0.0178231
2221 0.538866 0.0361905
2226 0.53873 0.0292517
2231 0.53932 0.0297506
2236 0.537778 0.101224
2241 0.537279 0.0391383
2246 0.537234 0.0274376
2251 0.537234 0.0463492
2256 0.538413 0.0486168
2261 0.537959 0.0610884
2266 0.537778 0.0629025
2271 0.556009 0.116689
2276 0.557642 0.18576
2281 0.529887 0.243583
2286 0.522177 0.243855
2291 0.495329 0.26127
2296 0.499093 0.275193
2301 0.531791 0.301315
2306 0.542585 0.293424
2311 0.547528 0.280998
2316 0.540998 0.279637
2321 0.525624 0.294739
2326 0.527846 0.287256
2331 0.531338 0.182585
2336 0.533923 0.183628
2341 0.542766 0.141361
2346 0.54322 0.120816
2351 0.540181 0.0955102
2356 0.538912 0.127347
2361 0.538277 0.113968
2366 0.535873 0.100726
2371 0.538141 0.114467
2376 0.541406 0.0889342
2381 0.543946 0.11678
2386 0.568345 0.107664
2391 0.580363 0.182222
2396 0.53161 0.202132
2401 0.491655 0.242948
2406 0.460091 0.23873
2411 0.504218 0.234422
2416 0.539093 0.199002
2421 0.549252 0.142676
2426 0.544853 0.073288
2431 0.53619 0.0430839
2436 0.561633 0.0591837
2441 0.559048 0.140499
2446 0.544807 0.175556
2451 0.525986 0.159138
2456 0.51551 0.177914
2461 0.567029 0.172381
2466 0.554921 0.13551
2471 0.547528 0.106757
2476 0.546848 0.0654422
2481 0.549478 0.0776871
2486 0.549433 0.0970975
2491 0.541723 0.104943
2496 0.539456 0.102177
2501 0.544581 0.109025
2506 0.551519 0.116236
2511 0.56898 0.0982766
2516 0.58068 0.185351
2521 0.559637 0.266531
2526 0.521179 0.254512
2531 0.510748 0.268889
2536 0.485351 0.248889
2541 0.489025 0.289887
2546 0.538685 0.298413
2551 0.570567 0.316735
2556 0.571474 0.19619
2561 0.562177 0.102721
2566 0.542449 0.0913832
2571 0.543537 0.0337868
2576 0.544807 0.170249
2581 0.545306 0.252834
2586 0.550068 0.27619
2591 0.549161 0.235329
2596 0.548707 0.333651
2601 0.548571 0.296644
2606 0.548526 0.319456
2611 0.548163 0.300816
2616 0.547755 0.256054
2621 0.54771 0.162993
2626 0.554966 0.0179138
2631 0.564444 0.0791837
