frame_number static_density dynamic_density
1 0.933333 0.443902
6 0.923984 0.50935
11 0.918293 0.367886
16 0.900406 0.297561
21 0.9 0.32561
26 0.899187 0.291057
31 0.900813 0.271545
36 0.898374 0.256504
41 0.892683 0.24065
46 0.895935 0.291057
51 0.893496 0.329675
56 0.889837 0.345122
61 0.882927 0.323577
66 0.886179 0.234146
71 0.893089 0.122764
76 0.893496 0.615041
81 0.892276 0.354878
86 0.887805 0.104472
91 0.889024 0.193496
96 0.877642 0.272358
101 0.880894 0.326829
106 0.877642 0.361382
111 0.88252 0.408943
116 0.873984 0.433333
121 0.868699 0.441057
126 0.85935 0.471138
131 0.855285 0.408537
136 0.857317 0.423577
141 0.85935 0.428862
146 0.859756 0.464634
151 0.854472 0.480488
156 0.853252 0.412195
161 0.856911 0.530488
166 0.853252 0.561382
171 0.853659 0.532927
176 0.85 0.30813
181 0.856098 0.259756
186 0.861789 0.271138
191 0.863821 0.380081
196 0.865447 0.532114
201 0.864228 0.580081
206 0.86626 0.225203
211 0.865041 0.16626
216 0.867886 0.4
221 0.865854 0.426829
226 0.865447 0.305285
231 0.86626 0.536179
236 0.862195 0.0788618
241 0.862602 0.378049
246 0.862195 0.467073
251 0.861789 0.195528
256 0.862195 0.358943
261 0.85813 0.194715
266 0.85935 0.354878
271 0.863008 0.397967
276 0.85813 0.304472
281 0.854065 0.0902439
286 0.845122 0.186585
291 0.844715 0.130081
296 0.852033 0.230488
301 0.861382 0.158943
306 0.865854 0.16626
311 0.867073 0.269919
316 0.863821 0.426829
321 0.865854 0.714634
326 0.864634 0.149187
331 0.862602 0.272358
336 0.858943 0.185366
341 0.85813 0.35122
346 0.863008 0.722764
351 0.860569 0.241057
356 0.863008 0.265041
361 0.865854 0.169106
366 0.861789 0.105691
371 0.862195 0.403252
376 0.863821 0.276423
381 0.860976 0.0906504
386 0.860569 0.215041
391 0.85935 0.107724
396 0.850813 0.15935
401 0.852439 0.204472
406 0.849187 0.234959
411 0.846341 0.276016
416 0.847561 0.286992
421 0.848374 0.345528
426 0.85 0.369919
431 0.841057 0.349187
436 0.836179 0.431707
441 0.838211 0.427642
446 0.843902 0.382927
451 0.845122 0.451626
456 0.849594 0.390244
461 0.847561 0.453252
466 0.848374 0.331707
471 0.85 0.541057
476 0.846341 0.448374
481 0.852033 0.363008
486 0.854878 0.358943
491 0.852846 0.462602
496 0.85122 0.54187
501 0.847968 0.165447
506 0.839431 0.113008
511 0.828862 0.217886
516 0.828049 0.202846
521 0.83374 0.257724
526 0.826829 0.306911
531 0.827642 0.332927
536 0.826016 0.35122
541 0.820325 0.385772
546 0.820732 0.442683
551 0.82439 0.418293
556 0.828049 0.439837
561 0.82561 0.582927
566 0.82439 0.622358
571 0.819512 0.643089
576 0.820325 0.263415
581 0.817886 0.131707
586 0.814634 0.127642
591 0.819919 0.131707
596 0.824797 0.165447
601 0.824797 0.256911
606 0.819106 0.245122
611 0.814228 0.354472
616 0.807317 0.360976
621 0.80935 0.513821
626 0.805691 0.314228
631 0.800407 0.269919
636 0.806504 0.277236
641 0.804472 0.373984
646 0.810976 0.512602
651 0.804878 0.339024
656 0.801626 0.277642
661 0.800407 0.436585
666 0.799594 0.300813
671 0.802033 0.408537
676 0.80122 0.353252
681 0.793902 0.44065
686 0.795122 0.328455
691 0.800813 0.313008
696 0.798374 0.600813
701 0.796748 0.573171
706 0.797154 0.449187
711 0.795935 0.315447
716 0.793089 0.607724
721 0.800813 0.441463
726 0.798374 0.393496
